Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,GG,AS,SS,MVP,Position
126,Daulton Varsho,27,5.0,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,97,0.306,94,187,2,4,1,1,1,1,0,0,,8.0
127,Joey Ortiz,25,2.7,142,511,440,58,105,25,6,11,60,11,6,56,103,0.239,0.329,0.398,0.726,102,0.317,98,175,10,6,3,6,0,0,0,0,,5.0
128,Jesse Winker,30,2.0,145,508,430,63,109,23,0,14,58,14,4,63,106,0.253,0.36,0.405,0.764,118,0.344,122,174,12,10,2,3,2,0,0,0,,7.0
129,Ryan Mountcastle,27,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,0.271,0.308,0.425,0.733,112,0.323,114,201,13,1,0,6,0,0,0,0,,3.0
130,Gavin Sheets,28,-1.0,139,501,451,35,105,24,1,10,45,2,2,43,106,0.233,0.303,0.357,0.66,90,0.292,88,161,6,4,0,3,2,0,0,0,,9.0
131,Charlie Blackmon,37,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,0.256,0.329,0.412,0.741,99,0.329,100,185,4,6,0,1,2,0,0,0,,9.0
132,Cedric Mullins,29,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,0.234,0.305,0.405,0.71,106,0.322,107,180,1,5,2,2,0,0,0,0,,8.0
133,Isiah Kiner-Falefa,29,3.6,133,496,465,53,125,18,4,8,43,11,2,16,78,0.269,0.306,0.376,0.683,92,0.308,93,175,12,10,3,2,0,0,0,0,,4.0
134,J.D. Martinez,36,0.5,120,495,434,46,102,24,1,16,69,0,0,49,141,0.235,0.32,0.406,0.725,105,0.321,108,176,17,6,0,2,0,0,0,0,,
135,Jake McCarthy,26,1.7,142,495,442,66,126,13,7,8,56,25,6,31,78,0.285,0.349,0.4,0.749,109,0.335,107,177,4,14,5,3,1,0,0,0,,9.0
136,Ryan O'Hearn,30,2.0,142,494,443,60,117,21,3,15,59,3,1,46,69,0.264,0.334,0.427,0.761,121,0.337,125,189,7,2,0,3,2,0,0,0,,3.0
137,Jonah Heim,29,1.1,131,491,459,45,101,12,1,13,59,1,1,26,90,0.22,0.267,0.336,0.602,73,0.268,71,154,13,4,0,2,0,0,0,0,,2.0
138,Michael Conforto,31,1.3,130,488,438,56,104,27,3,20,66,0,1,42,118,0.237,0.309,0.45,0.759,116,0.326,115,197,16,5,0,3,1,0,0,0,,7.0
139,Gavin Lux,26,2.1,139,487,439,59,110,24,2,10,50,5,2,44,110,0.251,0.32,0.383,0.703,101,0.314,103,168,8,2,0,2,0,0,0,0,,4.0
140,Connor Wong,28,1.5,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110,0.327,107,190,7,9,1,2,1,0,0,0,,2.0
141,Keibert Ruiz,25,0.6,127,485,459,46,105,21,0,13,57,3,1,16,54,0.229,0.26,0.359,0.619,74,0.27,70,165,13,5,0,5,0,0,0,0,,2.0
142,Jose Caballero,27,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,0.227,0.283,0.347,0.63,80,0.292,83,153,6,9,3,3,1,0,0,0,,6.0
143,Paul DeJong,30,0.9,139,482,445,54,101,17,0,24,56,2,2,23,156,0.227,0.276,0.427,0.703,98,0.304,95,190,9,9,0,5,0,0,0,0,,6.0
144,Tommy Pham,36,-0.2,116,478,440,49,109,20,3,9,39,7,3,35,106,0.248,0.305,0.368,0.674,92,0.308,96,162,5,2,0,1,0,0,0,0,,9.0
145,Brandon Marsh,26,3.1,135,476,418,55,104,17,3,16,60,19,3,50,154,0.249,0.328,0.419,0.747,108,0.338,111,175,2,2,1,5,0,0,0,0,,7.0
146,Josh Rojas,30,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,0.225,0.304,0.336,0.641,91,0.289,92,142,6,3,1,2,1,0,0,0,,5.0
147,Mike Yastrzemski,33,2.1,140,474,428,60,99,16,9,18,57,3,2,38,124,0.231,0.302,0.437,0.739,110,0.317,108,187,5,6,1,1,1,0,0,0,,9.0
148,Tyler O'Neill,29,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132,0.365,131,210,13,7,0,2,5,0,0,0,,7.0
149,Jeff McNeil,32,1.6,129,472,424,57,101,26,0,12,44,5,1,35,68,0.238,0.308,0.384,0.692,96,0.308,98,163,6,9,1,3,1,0,0,0,,4.0
150,Michael Harris II,23,3.2,110,470,440,58,116,14,3,16,48,10,6,23,94,0.264,0.304,0.418,0.722,98,0.32,102,184,6,4,0,3,1,0,0,0,,8.0
151,Ha-Seong Kim,28,2.6,121,470,403,60,94,16,3,11,47,22,5,58,77,0.233,0.33,0.37,0.7,97,0.318,96,149,8,2,4,3,4,0,0,0,,6.0
152,Jorge Polanco,30,1.3,118,469,417,43,89,11,0,16,45,4,2,46,137,0.213,0.296,0.355,0.651,93,0.294,96,148,16,4,0,2,3,0,0,0,,4.0
153,Austin Riley,27,2.9,110,469,425,63,109,26,2,19,56,0,0,37,118,0.256,0.322,0.461,0.783,114,0.343,117,196,6,5,0,2,0,0,0,0,,5.0
154,Ryan Jeffers,27,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,0.226,0.3,0.432,0.732,102,0.322,103,178,9,14,1,6,0,0,0,0,,2.0
155,Xander Bogaerts,31,1.2,111,463,428,50,113,15,1,11,44,13,3,28,79,0.264,0.307,0.381,0.688,92,0.307,90,163,13,1,0,6,0,0,0,0,,4.0
156,Jeimer Candelario,30,-0.7,112,463,427,47,96,23,2,20,56,4,3,27,114,0.225,0.279,0.429,0.707,90,0.306,87,183,7,6,0,3,1,0,0,0,,5.0
157,Mark Canha,35,0.6,125,462,393,46,95,20,0,7,42,7,0,51,96,0.242,0.344,0.346,0.69,99,0.321,104,136,10,13,0,5,2,0,0,0,,3.0
158,Gio Urshela,32,0.7,128,461,432,34,108,19,1,9,52,0,0,23,72,0.25,0.286,0.361,0.647,82,0.29,82,156,13,1,0,5,1,0,0,0,,5.0
159,Max Schuemann,27,0.8,133,459,396,55,87,14,0,7,34,14,1,47,119,0.22,0.311,0.308,0.619,82,0.292,86,122,8,7,5,4,0,0,0,0,,6.0
160,Giancarlo Stanton,34,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,0.233,0.298,0.475,0.773,115,0.33,112,198,17,2,0,2,2,0,0,0,,
161,Michael Toglia,25,2.2,116,458,399,62,87,14,3,25,55,10,1,54,147,0.218,0.311,0.456,0.767,104,0.334,102,182,7,1,0,3,2,0,0,0,,3.0
162,Luke Raley,29,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,0.243,0.32,0.463,0.783,129,0.346,131,187,2,20,2,2,0,0,0,0,,7.0
163,Davis Schneider,25,0.0,135,454,397,48,76,19,1,13,46,6,0,47,144,0.191,0.282,0.343,0.625,77,0.28,76,136,2,5,0,5,0,0,0,0,,7.0
164,Mark Vientos,24,3.1,111,454,413,58,110,22,0,27,71,0,0,33,135,0.266,0.322,0.516,0.837,134,0.361,137,213,6,3,0,5,0,0,0,0,,5.0
165,Ernie Clement,28,3.4,139,452,434,48,114,21,3,12,51,12,3,11,41,0.263,0.284,0.408,0.692,95,0.317,102,177,11,3,2,2,1,0,0,0,,5.0
166,Jo Adell,25,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,0.207,0.28,0.402,0.682,89,0.297,90,163,9,7,0,3,1,0,0,0,,9.0
167,Lawrence Butler,23,3.0,125,451,412,63,108,24,2,22,57,18,0,35,108,0.262,0.317,0.49,0.807,131,0.357,130,202,8,0,0,4,0,0,0,0,,9.0
168,J.P. Crawford,29,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,0.202,0.304,0.321,0.625,86,0.286,89,126,4,6,0,1,0,0,0,0,,6.0
169,MJ Melendez,25,-0.9,135,451,412,44,85,23,3,17,44,4,4,35,113,0.206,0.273,0.4,0.674,88,0.29,83,165,3,3,0,0,1,0,0,0,,7.0
170,Jarred Kelenic,24,0.4,131,449,412,49,95,18,2,15,45,7,2,32,133,0.231,0.286,0.393,0.679,86,0.301,86,162,5,1,1,3,1,0,0,0,,7.0
171,Joc Pederson,32,2.9,132,449,367,62,101,17,1,23,64,7,4,55,105,0.275,0.393,0.515,0.908,151,0.388,151,189,5,18,1,3,2,0,0,0,,
172,Patrick Bailey,25,1.8,121,448,401,46,94,16,1,8,46,4,0,39,100,0.234,0.298,0.339,0.637,84,0.286,84,136,10,0,1,7,0,1,0,0,,2.0
173,Jose Siri,28,1.8,130,448,402,50,75,16,1,18,47,14,7,31,170,0.187,0.255,0.366,0.62,76,0.272,73,147,5,7,2,4,0,0,0,0,,8.0
174,Wilyer Abreu,25,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,115,0.339,112,183,7,3,0,5,0,1,0,0,,9.0
175,Jordan Westburg,25,2.4,107,447,416,57,110,26,5,18,63,6,3,22,97,0.264,0.312,0.481,0.792,128,0.34,127,200,5,7,1,1,0,0,1,0,,5.0
176,Jared Triolo,26,1.3,125,446,394,41,85,10,1,9,46,8,1,42,118,0.216,0.296,0.315,0.611,72,0.286,74,124,5,5,0,5,0,1,0,0,,5.0
177,Nicky Lopez,29,0.2,124,445,398,40,96,12,3,1,21,5,7,37,67,0.241,0.312,0.294,0.606,76,0.282,83,117,3,4,6,0,0,0,0,0,,4.0
178,Andy Pages,23,1.3,116,443,403,65,100,23,1,13,46,1,2,29,108,0.248,0.305,0.407,0.712,102,0.31,101,164,8,6,0,4,0,0,0,0,,8.0
179,Brayan Rocchio,23,1.9,143,442,383,50,79,18,0,8,36,10,6,44,90,0.206,0.298,0.316,0.614,76,0.281,78,121,11,8,2,5,1,0,0,0,,6.0
180,Dylan Moore,31,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,0.201,0.32,0.367,0.687,104,0.322,109,135,8,14,1,5,1,1,0,0,,6.0
181,Fernando Tatis Jr.,25,2.6,102,438,398,64,110,21,1,21,49,11,3,32,96,0.276,0.34,0.492,0.833,131,0.36,129,196,8,7,0,1,0,0,1,0,,9.0
182,Harrison Bader,30,0.9,143,437,402,57,95,19,0,12,51,17,8,21,95,0.236,0.284,0.373,0.657,86,0.287,84,150,6,8,0,6,1,0,0,0,,8.0
183,Ozzie Albies,27,1.6,99,435,399,52,100,29,1,10,53,8,1,27,65,0.251,0.303,0.404,0.707,94,0.313,93,161,6,5,0,4,0,0,0,0,,4.0
184,Otto Lopez,25,2.6,117,434,403,49,109,23,1,6,39,20,4,25,75,0.27,0.313,0.377,0.69,88,0.32,91,152,13,1,2,2,0,0,0,0,,4.0
185,Blake Perkins,27,1.8,121,434,383,54,92,13,2,6,43,23,5,42,108,0.24,0.316,0.332,0.647,81,0.301,81,127,3,3,0,6,1,0,0,0,,8.0
186,Mitch Garver,33,-0.1,114,430,367,37,63,17,0,15,51,0,0,53,133,0.172,0.286,0.341,0.627,85,0.282,88,125,9,7,0,3,0,0,0,0,,2.0
187,Jose Miranda,26,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,0.284,0.322,0.441,0.763,112,0.333,112,177,13,6,0,4,1,0,0,0,,5.0
188,Mauricio Dubon,29,1.1,137,428,402,45,108,25,0,4,47,3,2,16,55,0.269,0.296,0.361,0.657,87,0.289,85,145,6,2,3,5,0,0,0,0,,7.0
189,Kyle Isbel,27,1.8,136,426,384,62,88,13,8,8,42,11,2,27,88,0.229,0.287,0.367,0.654,84,0.296,82,141,4,5,8,2,0,0,0,0,,8.0
190,Brandon Lowe,29,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,0.244,0.311,0.473,0.783,121,0.339,120,182,7,5,0,2,2,0,0,0,,4.0
191,Wenceel Perez,24,0.7,112,425,389,51,94,16,6,9,37,9,5,32,92,0.242,0.3,0.383,0.683,93,0.302,93,149,5,1,2,1,0,0,0,0,,9.0
192,Luis Robert Jr.,26,1.4,100,425,393,47,88,19,0,14,35,23,6,28,141,0.224,0.278,0.379,0.657,87,0.298,88,149,8,2,0,1,2,0,0,0,,8.0
193,Hunter Renfroe,32,0.0,120,424,385,44,88,18,0,15,52,1,1,36,84,0.229,0.297,0.392,0.689,93,0.308,94,151,10,2,0,1,0,0,0,0,,9.0
194,Mitch Haniger,33,-0.2,121,423,380,42,79,12,0,12,44,0,0,40,126,0.208,0.286,0.334,0.62,84,0.281,87,127,10,2,0,1,0,0,0,0,,9.0
195,Rowdy Tellez,29,-0.3,131,421,383,38,93,18,0,13,56,1,0,31,89,0.243,0.299,0.392,0.691,92,0.305,90,150,12,2,0,5,0,0,0,0,,3.0
196,Masataka Yoshida,30,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,113,0.341,114,157,6,14,0,2,0,0,0,0,,7.0
197,Mickey Moniak,26,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,0.219,0.266,0.38,0.646,79,0.283,78,149,3,4,0,1,0,0,0,0,,8.0
198,Connor Joe,31,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,0.228,0.32,0.368,0.688,93,0.306,92,134,7,6,0,2,1,0,0,0,,3.0
199,Austin Wells,24,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,0.229,0.322,0.395,0.718,103,0.318,104,140,9,5,1,7,0,0,0,0,,2.0
200,J.T. Realmuto,33,3.0,99,413,380,50,101,18,1,14,47,2,2,27,102,0.266,0.322,0.429,0.751,108,0.331,112,163,7,5,0,1,1,0,0,0,,2.0
201,Pete Crow-Armstrong,22,2.3,123,410,372,46,88,13,6,10,47,27,3,21,98,0.237,0.286,0.384,0.67,87,0.3,82,143,4,6,8,3,2,0,0,0,,8.0
202,Lars Nootbaar,26,1.5,109,405,348,39,85,18,3,12,45,7,3,52,79,0.244,0.342,0.417,0.758,112,0.334,112,145,10,1,1,3,2,0,0,0,,9.0
203,Jon Singleton,32,0.3,119,405,355,46,83,13,1,13,42,0,0,47,111,0.234,0.321,0.386,0.707,101,0.317,105,137,2,0,0,3,0,0,0,0,,3.0
204,Nolan Gorman,24,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,0.203,0.271,0.4,0.671,86,0.291,79,146,2,1,0,2,1,0,0,0,,4.0
205,LaMonte Wade Jr.,30,2.1,117,401,331,45,86,16,0,8,34,2,1,62,90,0.26,0.38,0.381,0.761,121,0.337,122,126,2,4,1,3,5,0,0,0,,3.0
206,Seth Brown,31,-0.6,124,400,372,32,86,11,1,14,44,4,2,25,112,0.231,0.283,0.379,0.662,91,0.291,90,141,7,2,0,1,0,0,0,0,,7.0
207,Trevor Larnach,27,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,0.259,0.338,0.434,0.771,115,0.341,117,154,12,3,0,2,1,0,0,0,,7.0
208,Max Kepler,31,1.0,105,399,368,43,93,21,1,8,42,1,0,22,80,0.253,0.302,0.38,0.682,90,0.315,98,140,3,5,0,3,0,0,0,0,,9.0
209,Ke'Bryan Hayes,27,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,0.233,0.283,0.29,0.573,62,0.267,60,106,12,4,0,4,1,0,0,0,,5.0
210,Korey Lee,25,0.1,125,394,377,36,79,14,1,12,37,6,3,17,122,0.21,0.244,0.347,0.591,68,0.264,68,131,12,0,0,0,0,0,0,0,,2.0
211,Kike Hernendez,32,1.3,126,393,362,44,83,16,0,12,42,0,0,27,77,0.229,0.281,0.373,0.654,85,0.294,88,135,13,0,1,3,0,0,0,0,,5.0
212,David Fry,28,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,0.263,0.356,0.448,0.804,129,0.352,128,150,13,9,0,4,4,0,1,0,,2.0
213,Santiago Espinal,29,-0.4,118,391,357,32,88,12,0,9,45,11,1,24,54,0.246,0.295,0.356,0.65,78,0.294,73,127,7,2,4,4,1,0,0,0,,5.0
214,Bo Naylor,24,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,0.201,0.264,0.35,0.614,74,0.272,71,124,3,2,2,2,1,0,0,0,,2.0
215,Will Benson,26,-1.4,128,388,343,41,64,19,2,14,43,16,7,40,154,0.187,0.274,0.376,0.65,76,0.285,70,129,3,2,1,2,0,0,0,0,,7.0
216,Byron Buxton,30,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,0.279,0.335,0.524,0.859,136,0.369,136,186,3,11,0,2,1,0,0,0,,8.0
217,Geraldo Perdomo,24,3.5,98,388,337,61,92,21,2,3,37,9,1,36,58,0.273,0.344,0.374,0.718,101,0.328,104,126,5,3,7,5,0,0,0,0,,6.0
218,Nick Gonzales,25,0.9,94,387,359,42,97,19,3,7,49,5,3,18,74,0.27,0.311,0.398,0.709,97,0.316,98,143,8,5,1,4,1,0,0,0,,4.0
219,Josh Lowe,26,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,0.241,0.302,0.391,0.693,98,0.315,93,138,2,0,0,2,4,0,0,0,,9.0
220,Alejandro Kirk,25,2.0,103,386,340,23,86,19,1,5,54,0,0,35,51,0.253,0.319,0.359,0.677,93,0.303,94,122,11,2,0,9,1,0,0,0,,2.0
221,Tyler Freeman,25,0.9,118,383,330,48,69,14,1,7,32,11,6,28,53,0.209,0.305,0.321,0.626,80,0.288,83,106,15,19,3,3,1,0,0,0,,8.0
222,Jake Fraley,29,0.3,116,382,350,44,97,19,2,5,26,20,5,26,70,0.277,0.33,0.386,0.716,96,0.319,92,135,6,3,0,3,0,0,0,0,,9.0
223,Thairo Estrada,28,-0.5,96,381,364,43,79,15,2,9,47,2,2,10,76,0.217,0.247,0.343,0.59,68,0.263,69,125,8,5,0,2,0,0,0,0,,4.0
224,Spencer Horwitz,26,1.2,97,381,328,46,87,19,0,12,40,0,0,42,70,0.265,0.357,0.433,0.79,124,0.346,125,142,8,7,0,4,2,0,0,0,,3.0
225,Spencer Torkelson,24,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,0.219,0.295,0.374,0.669,89,0.293,86,128,6,4,0,1,0,0,0,0,,3.0
226,Anthony Rizzo,34,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,0.228,0.301,0.335,0.637,81,0.297,88,113,7,9,0,2,0,0,0,0,,3.0
227,Starling Marte,35,0.7,94,370,335,46,90,13,3,7,40,16,1,27,81,0.269,0.327,0.388,0.715,103,0.328,107,130,8,3,3,2,1,0,0,0,,9.0
228,Lenyn Sosa,24,-0.4,100,369,351,28,89,13,0,8,35,3,1,12,77,0.254,0.283,0.359,0.642,84,0.282,79,126,5,3,2,1,1,0,0,0,,5.0
229,Freddy Fermin,29,3.0,111,368,339,40,92,14,0,6,36,2,0,23,66,0.271,0.319,0.366,0.685,93,0.307,92,124,10,2,1,3,1,0,0,0,,2.0
230,Carlos Correa,29,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,0.31,0.388,0.517,0.905,151,0.393,155,165,5,3,0,4,4,0,1,0,,6.0
231,Abraham Toro,27,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,0.24,0.293,0.35,0.643,87,0.285,85,118,4,5,2,0,1,0,0,0,,5.0
232,Miguel Amaya,25,1.9,117,363,328,32,76,13,2,8,47,0,0,23,62,0.232,0.288,0.357,0.644,81,0.292,84,117,5,4,5,3,0,0,0,0,,2.0
233,Johan Rojas,23,0.7,120,363,338,47,82,12,3,3,32,25,4,13,69,0.243,0.279,0.322,0.601,68,0.277,63,109,7,4,8,0,0,0,0,0,,8.0
234,Jonny DeLuca,25,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,0.217,0.278,0.331,0.609,75,0.279,76,110,1,4,2,0,1,0,0,0,,9.0
235,Brandon Drury,31,-2.0,97,360,325,28,55,7,0,4,15,1,0,27,81,0.169,0.242,0.228,0.469,34,0.228,38,74,13,5,0,3,0,0,0,0,,4.0
236,Willson Contreras,32,3.0,84,358,301,48,79,17,0,15,36,4,1,45,96,0.262,0.38,0.468,0.848,137,0.37,137,141,7,12,0,0,2,0,0,0,,2.0
237,Michael Massey,26,1.6,100,356,332,45,86,17,2,14,45,1,0,15,56,0.259,0.294,0.449,0.743,106,0.328,108,149,9,3,2,4,1,0,0,0,,4.0
238,Will Brennan,26,-0.2,114,353,330,37,87,13,2,8,30,4,2,19,48,0.264,0.309,0.388,0.697,98,0.307,96,128,9,3,0,1,2,0,0,0,,9.0
239,Gabriel Moreno,24,2.6,97,351,305,39,81,18,1,5,45,3,1,41,52,0.266,0.353,0.38,0.734,105,0.327,105,116,10,2,0,3,1,0,0,0,,2.0
240,Elias Diaz,33,1.3,96,351,325,27,86,20,0,6,39,0,0,20,69,0.265,0.313,0.382,0.695,87,0.309,87,124,15,4,0,2,2,0,0,0,,2.0
241,Mike Tauchman,33,0.6,109,350,298,50,74,12,1,7,29,6,2,47,70,0.248,0.357,0.366,0.723,106,0.326,108,109,7,4,0,1,0,0,0,0,,9.0
242,Eloy Jimenez,27,-0.7,98,349,324,25,77,14,0,6,23,3,0,22,70,0.238,0.289,0.336,0.626,81,0.282,80,109,13,2,0,1,1,0,0,0,,9.0
243,Jake Bauers,28,-0.4,116,346,302,45,60,9,2,12,43,13,1,39,118,0.199,0.301,0.361,0.662,84,0.3,80,109,0,5,0,0,1,0,0,0,,3.0
244,Jake Cave,31,-0.7,123,346,323,42,81,16,5,7,37,5,2,18,98,0.251,0.29,0.396,0.686,83,0.297,77,128,6,1,1,3,1,0,0,0,,9.0
245,Amed Rosario,28,-0.1,103,346,332,29,93,18,3,3,32,13,5,9,73,0.28,0.306,0.38,0.686,95,0.312,98,126,10,4,0,1,0,0,0,0,,4.0
246,Tyrone Taylor,30,2.0,130,345,319,47,79,22,3,7,35,11,2,19,80,0.248,0.299,0.401,0.701,98,0.317,102,128,4,5,1,1,1,0,0,0,,9.0
247,Manuel Margot,29,-0.9,129,343,315,37,75,17,1,4,31,5,0,21,54,0.238,0.289,0.337,0.626,75,0.281,72,106,10,3,1,3,0,0,0,0,,7.0
248,Francisco Alvarez,22,0.8,100,342,308,39,73,14,2,11,47,1,1,30,86,0.237,0.307,0.403,0.71,100,0.319,107,124,7,2,0,2,0,0,0,0,,2.0
249,Travis d'Arnaud,35,1.1,99,341,307,40,73,16,0,15,48,1,0,24,89,0.238,0.302,0.436,0.739,102,0.32,101,134,8,6,0,4,0,0,0,0,,2.0
250,Tyler Fitzgerald,26,2.8,96,341,314,53,88,19,2,15,34,17,4,22,108,0.28,0.334,0.497,0.831,136,0.367,140,156,2,4,0,1,0,0,0,0,,6.0
251,TJ Friedl,28,0.5,85,341,297,35,67,5,1,13,55,9,1,26,52,0.226,0.31,0.38,0.69,88,0.313,88,113,1,12,2,4,0,0,0,0,,8.0
252,Kyle Tucker,27,4.7,78,339,277,56,80,13,0,23,49,11,0,56,54,0.289,0.408,0.585,0.993,179,0.426,179,162,5,1,0,2,3,0,1,0,,9.0
253,Jake Rogers,29,1.0,102,337,310,43,61,16,1,10,36,1,0,22,99,0.197,0.255,0.352,0.607,71,0.27,69,109,6,3,0,2,1,0,0,0,,2.0
254,Miguel Rojas,35,3.4,103,337,307,41,87,21,0,6,36,8,2,23,34,0.283,0.337,0.41,0.748,113,0.329,112,126,8,3,2,2,0,0,0,0,,6.0
255,Bo Bichette,26,-0.3,81,336,311,29,70,16,1,4,31,5,1,20,64,0.225,0.277,0.322,0.598,70,0.269,68,100,12,3,0,2,1,0,0,0,,6.0
